icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,api_time,ingestion_time,region,speed_kmh,baro_altitude_ft,geo_altitude_ft,altitude_band
8014bc,IGO209H,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,79.3092,27.4384,11277.6,False,255.93,111.46,-0.33,,11910.06,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,921.3480000000001,37000.001184,39075.0012504,"10,000-12,000 m"
8014d0,AIC9ZM,India,2026-05-25 12:29:37+00:00,2026-05-25 12:29:37+00:00,77.08,28.5642,,True,6.94,196.88,,,,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,24.984,,,
8014fa,IGO102W,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,77.9708,13.2576,2095.5,False,108.57,181.09,-4.55,,2133.6,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,390.852,6875.00022,7000.000223999999,"0-5,000 m"
801602,AIC8RR,India,2026-05-25 12:30:00+00:00,2026-05-25 12:30:00+00:00,76.4847,28.4134,3657.6,False,170.25,63.43,0.0,,3794.76,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,612.9,12000.000383999999,12450.000398400001,"0-5,000 m"
80174a,IGO6706,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,76.8077,28.5038,3139.44,False,154.62,196.63,9.43,,3230.88,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,556.6320000000001,10300.0003296,10600.0003392,"0-5,000 m"
801759,IGO34FP,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,73.4782,22.4989,10652.76,False,233.69,19.95,4.55,,11338.56,0253,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,841.284,34950.0011184,37200.0011904,"10,000-12,000 m"
801767,IGO349,India,2026-05-25 12:29:22+00:00,2026-05-25 12:29:35+00:00,77.0981,28.5703,,True,19.55,270.0,,,,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,70.38000000000001,,,
800441,AIC1PT,India,2026-05-25 12:29:17+00:00,2026-05-25 12:29:17+00:00,77.0901,28.5587,,True,0.32,101.25,,,,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,1.1520000000000001,,,
801738,IGO242W,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,77.2732,28.3652,2278.38,False,123.39,114.64,-6.83,,2308.86,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,444.204,7475.000239200001,7575.0002424,"0-5,000 m"
800414,VUAUO,India,2026-05-25 12:29:38+00:00,2026-05-25 12:29:41+00:00,76.879,25.0459,10050.78,False,235.75,175.75,0.0,,10660.38,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,848.7,32975.0010552,34975.001119199995,"10,000-12,000 m"
801749,IGO556H,India,2026-05-25 12:29:56+00:00,2026-05-25 12:29:56+00:00,73.493,18.6208,6103.62,False,199.62,108.01,9.1,,6438.9,0336,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,718.6320000000001,20025.0006408,21125.000676,"5,000-10,000 m"
800448,AXB1782,India,2026-05-25 12:26:15+00:00,2026-05-25 12:26:16+00:00,73.376,18.5894,10668.0,False,234.08,180.5,0.33,,11338.56,0565,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,842.6880000000001,35000.00112,37200.0011904,"10,000-12,000 m"
800463,AIC441,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,76.5227,27.7992,6812.28,False,223.72,215.74,13.33,,7124.7,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,805.392,22350.0007152,23375.000748,"5,000-10,000 m"
801799,AXB2963,India,2026-05-25 12:29:58+00:00,2026-05-25 12:29:58+00:00,86.7296,23.8085,10363.2,False,222.73,213.98,0.33,,11018.52,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,801.828,34000.001088000005,36150.001156800005,"10,000-12,000 m"
8016a7,AIC6HY,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,75.4894,27.0847,11056.62,False,235.37,23.99,-3.58,,11711.94,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,847.332,36275.001160800006,38425.0012296,"10,000-12,000 m"
8015bc,IGO2041,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,76.5438,9.0538,6324.6,False,181.21,349.2,7.48,,6576.06,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,652.356,20750.000664000003,21575.0006904,"5,000-10,000 m"
8015d3,IGO1104,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,81.8926,26.9476,10370.82,False,215.44,290.99,0.0,,10957.56,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,775.5840000000001,34025.001088799996,35950.0011504,"10,000-12,000 m"
8015ab,AKJ1324,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,90.185,25.365,8214.36,False,217.31,236.69,4.88,,8671.56,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,782.316,26950.0008624,28450.0009104,"5,000-10,000 m"
8015ff,VTVSS,India,2026-05-25 12:29:47+00:00,2026-05-25 12:29:50+00:00,77.8106,12.9669,1417.32,False,94.17,271.25,1.3,,1363.98,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,339.012,4650.0001488,4475.0001432,"0-5,000 m"
8015f3,IGO6440,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,81.036,26.7625,891.54,False,82.83,269.29,-0.33,,769.62,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,298.188,2925.0000935999997,2525.0000808,"0-5,000 m"
70203f,BBC337,Bangladesh,2026-05-25 12:29:52+00:00,2026-05-25 12:29:52+00:00,88.2129,22.7046,11582.4,False,246.15,293.14,0.0,,12336.78,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,886.14,38000.001216,40475.0012952,"10,000-12,000 m"
801726,IGO5001,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,76.8499,25.4705,11277.6,False,238.11,176.53,0.33,,11971.02,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,857.196,37000.001184,39275.0012568,"10,000-12,000 m"
801725,IGO2403,India,2026-05-25 12:29:58+00:00,2026-05-25 12:29:59+00:00,81.652,26.6379,10050.78,False,265.08,100.28,0.33,,10622.28,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,954.288,32975.0010552,34850.0011152,"10,000-12,000 m"
800401,AIC8UC,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,76.7371,28.2999,4907.28,False,165.28,198.32,8.78,,5105.4,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,595.008,16100.0005152,16750.000536,"0-5,000 m"
702033,BBC374,Bangladesh,2026-05-25 12:30:00+00:00,2026-05-25 12:30:00+00:00,88.021,25.5426,10058.4,False,241.91,135.09,0.0,,10660.38,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,870.876,33000.001056,34975.001119199995,"10,000-12,000 m"
702034,BBC398,Bangladesh,2026-05-25 12:29:56+00:00,2026-05-25 12:29:59+00:00,87.5048,24.8635,11064.24,False,247.11,110.47,-4.88,,11765.28,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,889.5960000000001,36300.0011616,38600.001235200005,"10,000-12,000 m"
80186e,IGO297P,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,77.3931,28.5632,1303.02,False,95.22,271.86,-3.58,,1234.44,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,342.79200000000003,4275.0001368,4050.0001296,"0-5,000 m"
801878,IGO379E,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,77.2523,25.4361,10972.8,False,232.56,359.11,0.0,,11643.36,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,837.216,36000.001152,38200.0012224,"10,000-12,000 m"
80187c,IGO1156,India,2026-05-25 12:25:04+00:00,2026-05-25 12:25:06+00:00,77.0835,28.56,,True,0.06,239.06,,,,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,0.216,,,
80184b,IGO624,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,77.1396,9.0295,3055.62,False,154.26,189.21,-4.23,,3131.82,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,555.336,10025.0003208,10275.0003288,"0-5,000 m"
801874,AXB2932,India,2026-05-25 12:29:59+00:00,2026-05-25 12:30:00+00:00,82.0779,17.129,11582.4,False,236.52,243.94,0.0,,,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,851.4720000000001,38000.001216,,"10,000-12,000 m"
80185f,IGO352K,India,2026-05-25 12:25:29+00:00,2026-05-25 12:25:33+00:00,79.2661,13.1645,6659.88,False,202.27,91.75,-3.58,,6995.16,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,728.172,21850.0006992,22950.0007344,"5,000-10,000 m"
70209a,BBC325,Bangladesh,2026-05-25 12:29:57+00:00,2026-05-25 12:29:59+00:00,88.3761,23.3229,9677.4,False,243.41,271.45,7.15,,10287.0,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,876.276,31750.001016,33750.00108,"5,000-10,000 m"
800583,AIC4174,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,89.5222,22.372,8130.54,False,197.67,292.49,-8.45,,8625.84,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,711.612,26675.0008536,28300.0009056,"5,000-10,000 m"
800589,AIC220,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,82.0371,28.4558,10965.18,False,212.12,290.59,0.33,,11582.4,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,763.6320000000001,35975.0011512,38000.001216,"10,000-12,000 m"
70a8eb,BHA959,Nepal,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,86.7281,26.864,4579.62,False,133.34,87.79,0.33,,4724.4,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,480.024,15025.0004808,15500.000495999999,"0-5,000 m"
4246b2,AZG1682,United Kingdom,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,84.5242,25.2375,9753.6,False,247.63,302.27,0.0,,10325.1,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,891.468,32000.001024,33875.001084,"5,000-10,000 m"
8016ae,AXB344,India,2026-05-25 12:29:47+00:00,2026-05-25 12:29:47+00:00,75.4085,12.0676,6911.34,False,228.7,149.74,-11.7,,7620.0,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,823.3199999999999,22675.0007256,25000.0008,"5,000-10,000 m"
8016c9,AXB2408,India,2026-05-25 12:25:50+00:00,2026-05-25 12:25:58+00:00,87.6683,25.7581,6012.18,False,223.54,35.45,-8.13,,6339.84,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,804.744,19725.0006312,20800.0006656,"5,000-10,000 m"
8016c6,AXB2609,India,2026-05-25 12:29:59+00:00,2026-05-25 12:30:00+00:00,77.6211,13.4486,3672.84,False,143.99,340.59,2.93,,3787.14,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,518.364,12050.0003856,12425.000397599999,"0-5,000 m"
8016c7,AXB1408,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,87.6637,25.1804,8999.22,False,218.37,205.54,3.25,,9517.38,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,786.1320000000001,29525.0009448,31225.000999199998,"5,000-10,000 m"
8016d2,IGO793,India,2026-05-25 12:24:54+00:00,2026-05-25 12:24:54+00:00,80.9552,26.7615,541.02,False,68.94,269.14,-3.58,,381.0,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,248.184,1775.0000568,1250.00004,"0-5,000 m"
8016d4,IGO707H,India,2026-05-25 12:24:04+00:00,2026-05-25 12:28:17+00:00,72.8522,18.2937,9448.8,False,248.57,1.54,0.0,,10660.38,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,894.852,31000.000991999997,34975.001119199995,"5,000-10,000 m"
801805,IGO248F,India,2026-05-25 12:29:02+00:00,2026-05-25 12:29:02+00:00,77.0839,28.5608,,True,1.03,329.06,,,,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,3.708,,,
801811,AKJ1808,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,85.1773,26.5377,11582.4,False,218.96,279.33,-0.33,,12275.82,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,788.2560000000001,38000.001216,40275.0012888,"10,000-12,000 m"
151dc2,AFL299,Russian Federation,2026-05-25 12:28:51+00:00,2026-05-25 12:28:52+00:00,87.6995,23.1476,10972.8,False,258.13,317.34,0.33,,11658.6,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,929.268,36000.001152,38250.001224,"10,000-12,000 m"
738100,ELY084,Israel,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,77.0511,13.1566,10965.18,False,259.15,265.22,0.0,,11650.98,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,932.9399999999999,35975.0011512,38225.0012232,"10,000-12,000 m"
801835,AKJ220Z,India,2026-05-25 12:29:58+00:00,2026-05-25 12:29:59+00:00,77.1567,28.569,556.26,False,73.07,271.21,-2.93,,411.48,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,263.05199999999996,1825.0000584,1350.0000432000002,"0-5,000 m"
80182f,IGO264E,India,2026-05-25 12:28:44+00:00,2026-05-25 12:28:44+00:00,87.3797,23.2099,7345.68,False,232.77,304.92,9.43,,7749.54,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,837.9720000000001,24100.0007712,25425.0008136,"5,000-10,000 m"
80183a,IGO942,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,77.7884,13.1889,1249.68,False,74.09,270.8,-3.58,,1188.72,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,266.72400000000005,4100.0001312,3900.0001248,"0-5,000 m"
801849,SDG612,India,2026-05-25 12:29:58+00:00,2026-05-25 12:29:59+00:00,70.2848,22.4124,3672.84,False,170.13,102.4,11.38,,3817.62,6325,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,612.468,12050.0003856,12525.0004008,"0-5,000 m"
801850,IGO403,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,75.4293,26.7238,10668.0,False,231.53,28.1,-0.33,,11308.08,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,833.508,35000.00112,37100.001187199996,"10,000-12,000 m"
801822,IGO1053,India,2026-05-25 12:30:00+00:00,2026-05-25 12:30:00+00:00,89.2151,20.9157,10668.0,False,235.75,134.12,0.33,,11384.28,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,848.7,35000.00112,37350.0011952,"10,000-12,000 m"
80180e,IGO52AR,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,78.002,28.5129,3474.72,False,154.23,300.24,-5.2,,3589.02,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,555.228,11400.0003648,11775.0003768,"0-5,000 m"
452181,UAE9781,Bulgaria,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,70.4719,22.8315,10363.2,False,256.24,273.8,0.0,,10995.66,5147,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,922.464,34000.001088000005,36075.0011544,"10,000-12,000 m"
8018b9,IGO737F,India,2026-05-25 12:26:19+00:00,2026-05-25 12:26:29+00:00,73.8605,18.5831,8869.68,False,235.52,119.87,7.8,,9410.7,3304,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,847.8720000000001,29100.0009312,30875.000988000003,"5,000-10,000 m"
7020a6,BBC616,Bangladesh,2026-05-25 12:28:40+00:00,2026-05-25 12:28:40+00:00,90.4016,23.851,,True,0.45,53.44,,,,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,1.62,,,
7020a5,BBC483,Bangladesh,2026-05-25 12:28:54+00:00,2026-05-25 12:29:56+00:00,90.4033,23.8364,220.98,False,78.52,144.33,9.1,,83.82,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,282.67199999999997,725.0000232,275.0000088,"0-5,000 m"
aa8b3e,N779J,United States,2026-05-25 12:29:50+00:00,2026-05-25 12:29:55+00:00,82.8035,33.2093,,True,5.14,0.0,,,,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,18.503999999999998,,,
7020ae,AWA449,Bangladesh,2026-05-25 12:26:50+00:00,2026-05-25 12:26:50+00:00,91.1863,21.8579,4366.26,False,161.15,118.61,-6.83,,4526.28,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,580.14,14325.0004584,14850.000475199999,"0-5,000 m"
7020ac,UBG338,Bangladesh,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,90.4043,23.8436,,True,10.29,323.44,,,,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,37.044,,,
7020bc,AWA416,Bangladesh,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,90.6136,22.8065,4876.8,False,114.16,352.49,0.0,,5074.92,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,410.976,16000.000512,16650.0005328,"0-5,000 m"
7020c2,UBG381,Bangladesh,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,73.8289,23.1325,11582.4,False,233.37,266.97,0.0,,12321.54,4721,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,840.1320000000001,38000.001216,40425.001293600006,"10,000-12,000 m"
8018c8,IGO713W,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,77.1168,28.3886,3124.2,False,147.57,114.51,-2.6,,3208.02,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,531.252,10250.000328,10525.0003368,"0-5,000 m"
